district,crop,season,yield
Adilabad,Arhar/Tur,Kharif,1.02
Adilabad,Bajra,Kharif,1.21
Komaram bheem asifabad,Coriander,Kharif,1.0
Komaram bheem asifabad,Cowpea(Lobia),Kharif,0.72
Komaram bheem asifabad,Castor seed,Kharif,0.87
Komaram bheem asifabad,Coriander,Rabi,0.82
Komaram bheem asifabad,Cowpea(Lobia),Rabi,0.98
Komaram bheem asifabad,Dry chillies,Kharif,4.46
Komaram bheem asifabad,Dry chillies,Rabi,5.72
Komaram bheem asifabad,Gram,Rabi,1.34
Komaram bheem asifabad,Groundnut,Kharif,2.12
Komaram bheem asifabad,Horse-gram,Kharif,1.27
Komaram bheem asifabad,Jowar,Kharif,0.65
Komaram bheem asifabad,Groundnut,Rabi,2.26
Komaram bheem asifabad,Horse-gram,Rabi,0.6
Komaram bheem asifabad,Jowar,Rabi,0.89
Komaram bheem asifabad,Maize,Kharif,3.08
Komaram bheem asifabad,Moong(Green Gram),Kharif,0.53
Komaram bheem asifabad,Onion,Kharif,17.8
Komaram bheem asifabad,Ragi,Kharif,1.29
Komaram bheem asifabad,Maize,Rabi,5.78
Komaram bheem asifabad,Moong(Green Gram),Rabi,1.11
Komaram bheem asifabad,Onion,Rabi,30.11
Komaram bheem asifabad,Potato,Rabi,21.0
Komaram bheem asifabad,Ragi,Rabi,1.75
Komaram bheem asifabad,Rice,Kharif,2.31
Khammam,Groundnut,Kharif,1.99
Khammam,Horse-gram,Kharif,1.5
Khammam,Groundnut,Rabi,2.12
Khammam,Horse-gram,Rabi,1.45
Khammam,Jowar,Kharif,0.93
Khammam,Jowar,Rabi,1.69
Khammam,Maize,Rabi,7.57
Khammam,Maize,Kharif,4.45
Khammam,Moong(Green Gram),Kharif,0.41
Khammam,Moong(Green Gram),Rabi,0.84
Khammam,Oilseeds total,Kharif,18.89
Khammam,Onion,Kharif,14.88
Khammam,Oilseeds total,Rabi,2.57
Khammam,Onion,Rabi,30.07
Khammam,Ragi,Kharif,1.5
Khammam,Rice,Kharif,3.2
Khammam,Rapeseed &Mustard,Rabi,1.0
Khammam,Rice,Rabi,3.38
Khammam,Safflower,Rabi,1.0
Khammam,Sesamum,Kharif,0.23
Khammam,Small millets,Kharif,1.1
Khammam,Sesamum,Rabi,0.46
Khammam,Small millets,Rabi,1.52
Komaram bheem asifabad,Sesamum,Kharif,0.21
Komaram bheem asifabad,Small millets,Kharif,1.38
Komaram bheem asifabad,Soyabean,Kharif,1.26
Komaram bheem asifabad,Sunflower,Kharif,0.8
Komaram bheem asifabad,Sweet potato,Kharif,16.0
Komaram bheem asifabad,Rice,Rabi,3.0
Komaram bheem asifabad,Safflower,Rabi,0.94
Komaram bheem asifabad,Sesamum,Rabi,0.65
Komaram bheem asifabad,Small millets,Rabi,1.0
Komaram bheem asifabad,Soyabean,Rabi,1.25
Komaram bheem asifabad,Sugarcane,Kharif,93.12
Komaram bheem asifabad,Sunflower,Rabi,1.98
Komaram bheem asifabad,Sweet potato,Rabi,11.64
Komaram bheem asifabad,Turmeric,Rabi,7.67
Komaram bheem asifabad,Turmeric,Kharif,6.03
Komaram bheem asifabad,Urad,Rabi,1.34
Komaram bheem asifabad,Urad,Kharif,0.66
Komaram bheem asifabad,Wheat,Rabi,1.83
Mahabubabad,Arhar/Tur,Rabi,0.88
Mahabubabad,Bajra,Rabi,2.29
Mahabubabad,Arhar/Tur,Kharif,0.75
Khammam,Soyabean,Kharif,1.4
Khammam,Soyabean,Rabi,1.2
Khammam,Sugarcane,Kharif,85.65
Khammam,Sweet potato,Kharif,7.5
Khammam,Tobacco,Kharif,2.52
Khammam,Sunflower,Rabi,1.83
Khammam,Sweet potato,Rabi,10.69
Khammam,Tobacco,Rabi,3.74
Khammam,Urad,Kharif,0.71
Khammam,Turmeric,Kharif,6.13
Khammam,Urad,Rabi,1.16
Khammam,other oilseeds,Kharif,19.97
Komaram bheem asifabad,Arhar/Tur,Kharif,1.06
Komaram bheem asifabad,Arhar/Tur,Rabi,0.96
Komaram bheem asifabad,Bajra,Kharif,1.44
Komaram bheem asifabad,Banana,Kharif,49.7
Komaram bheem asifabad,Cashewnut,Kharif,0.45
Khammam,Castor seed,Kharif,0.5
Khammam,Cowpea(Lobia),Kharif,0.67
Khammam,Castor seed,Rabi,1.67
Khammam,Cowpea(Lobia),Rabi,1.12
Khammam,Dry chillies,Kharif,5.28
Khammam,Ginger,Kharif,9.2
Khammam,Gram,Kharif,1.4
Khammam,Dry chillies,Rabi,3.91
Khammam,Ginger,Rabi,8.03
Khammam,Gram,Rabi,1.28
Adilabad,Arhar/Tur,Rabi,1.24
Adilabad,Bajra,Rabi,0.96
Nalgonda,Jowar,Rabi,1.37
Nalgonda,Maize,Rabi,6.47
Nalgonda,Moong(Green Gram),Rabi,1.06
Nalgonda,Oilseeds total,Rabi,1.04
Nalgonda,Maize,Kharif,2.86
Nalgonda,Moong(Green Gram),Kharif,0.57
Nalgonda,Oilseeds total,Kharif,1.77
Nalgonda,Onion,Kharif,16.0
Nalgonda,Onion,Rabi,29.15
Nalgonda,Ragi,Kharif,1.84
Nalgonda,Ragi,Rabi,2.0
Nalgonda,Rice,Kharif,3.08
Nalgonda,Rice,Rabi,3.23
Nalgonda,Safflower,Rabi,1.0
Nalgonda,Sesamum,Kharif,0.17
Nalgonda,Tobacco,Kharif,4.09
Nalgonda,Urad,Kharif,0.75
Nalgonda,Sesamum,Rabi,0.63
Nalgonda,Small millets,Kharif,1.16
Nalgonda,Soyabean,Kharif,1.44
Nalgonda,Sugarcane,Kharif,88.22
Nalgonda,Sunflower,Rabi,1.86
Nalgonda,Sweet potato,Rabi,11.5
Nalgonda,Tobacco,Rabi,4.23
Nalgonda,Turmeric,Kharif,6.31
Nalgonda,Urad,Rabi,1.17
Nalgonda,Wheat,Rabi,1.98
Nagarkurnool,Ragi,Rabi,1.4
Nagarkurnool,Rice,Rabi,2.92
Nagarkurnool,Safflower,Rabi,0.94
Nagarkurnool,Sesamum,Rabi,0.7
Nagarkurnool,Small millets,Rabi,1.27
Nagarkurnool,Soyabean,Kharif,1.39
Nagarkurnool,Sugarcane,Kharif,91.78
Nagarkurnool,Sunflower,Kharif,1.85
Nagarkurnool,Sunflower,Rabi,2.07
Nagarkurnool,Sweet potato,Kharif,12.0
Nagarkurnool,Sweet potato,Rabi,12.35
Nagarkurnool,Turmeric,Kharif,7.52
Nagarkurnool,Urad,Kharif,1.22
Nagarkurnool,Urad,Rabi,1.37
Nagarkurnool,Wheat,Kharif,2.0
Nagarkurnool,Wheat,Rabi,2.35
Nalgonda,Arhar/Tur,Kharif,0.57
Nalgonda,Arhar/Tur,Rabi,0.73
Nalgonda,Bajra,Kharif,0.82
Nalgonda,Bajra,Rabi,1.92
Nalgonda,Banana,Kharif,41.2
Nalgonda,Banana,Whole Year,31.18
Nalgonda,Cashewnut,Kharif,0.44
Nalgonda,Castor seed,Kharif,0.73
Medak,Turmeric,Kharif,5.29
Medak,Urad,Kharif,0.61
Medak,Wheat,Kharif,2.0
Medak,Tobacco,Rabi,2.97
Medak,Turmeric,Rabi,7.5
Medak,Urad,Rabi,1.13
Medak,Wheat,Rabi,1.72
Medak,other oilseeds,Kharif,1.52
Medchal,Arhar/Tur,Kharif,0.78
Medchal,Arhar/Tur,Rabi,1.0
Medchal,Bajra,Kharif,1.1
Medchal,Bajra,Rabi,2.13
Medchal,Banana,Kharif,49.7
Medchal,Cashewnut,Kharif,1.0
Medchal,Castor seed,Rabi,2.0
Medchal,Cowpea(Lobia),Rabi,0.85
Medchal,Castor seed,Kharif,0.8
Medchal,Cowpea(Lobia),Kharif,0.88
Medchal,Dry chillies,Kharif,3.67
Medchal,Dry chillies,Rabi,5.41
Medchal,Ginger,Rabi,9.4
Medchal,Gram,Rabi,1.44
Medchal,Groundnut,Rabi,2.2
Medchal,Horse-gram,Rabi,1.02
Medchal,Jowar,Rabi,1.94
Medchal,Maize,Rabi,7.28
Medchal,Groundnut,Kharif,2.17
Medchal,Horse-gram,Kharif,1.21
Medchal,Jowar,Kharif,1.0
Medchal,Maize,Kharif,2.99
Medchal,Moong(Green Gram),Kharif,0.71
Medchal,Moong(Green Gram),Rabi,1.0
Medchal,Onion,Rabi,30.1
Medchal,Potato,Rabi,18.19
Medchal,Ragi,Kharif,1.68
Medchal,Rice,Rabi,3.65
Medchal,Safflower,Rabi,1.0
Medchal,Sesamum,Rabi,0.72
Medchal,Rice,Kharif,3.42
Medchal,Safflower,Kharif,1.0
Medchal,Sesamum,Kharif,0.19
Medchal,Small millets,Rabi,0.5
Medchal,Small millets,Kharif,0.63
Medchal,Soyabean,Kharif,1.65
Mulugu,Turmeric,Kharif,7.17
Mulugu,Turmeric,Rabi,7.5
Mulugu,Urad,Rabi,1.22
Mulugu,Urad,Kharif,0.69
Mulugu,Wheat,Rabi,2.0
Nagarkurnool,Arhar/Tur,Kharif,0.66
Nagarkurnool,Arhar/Tur,Rabi,0.79
Nagarkurnool,Bajra,Kharif,0.74
Nagarkurnool,Bajra,Rabi,2.16
Nagarkurnool,Banana,Kharif,48.33
Nagarkurnool,Castor seed,Rabi,1.11
Nagarkurnool,Cowpea(Lobia),Rabi,0.98
Nagarkurnool,Dry chillies,Rabi,5.22
Nagarkurnool,Castor seed,Kharif,1.1
Nagarkurnool,Cowpea(Lobia),Kharif,0.77
Nagarkurnool,Dry chillies,Kharif,4.23
Nagarkurnool,Gram,Kharif,1.5
Nagarkurnool,Gram,Rabi,1.45
Nagarkurnool,Groundnut,Rabi,2.38
Nagarkurnool,Groundnut,Kharif,1.99
Nagarkurnool,Horse-gram,Kharif,1.12
Mulugu,Ginger,Kharif,9.0
Mulugu,Gram,Rabi,1.59
Mulugu,Groundnut,Kharif,2.2
Mulugu,Groundnut,Rabi,1.97
Mulugu,Horse-gram,Rabi,0.85
Mulugu,Jowar,Kharif,0.6
Mulugu,Jowar,Rabi,1.92
Mulugu,Maize,Rabi,8.71
Mulugu,Maize,Kharif,5.02
Mulugu,Moong(Green Gram),Kharif,0.72
Mulugu,Moong(Green Gram),Rabi,0.77
Mulugu,Onion,Rabi,30.26
Mulugu,Ragi,Kharif,1.5
Mulugu,Rice,Kharif,3.23
Mulugu,Rice,Rabi,3.45
Mulugu,Safflower,Rabi,1.0
Mulugu,Sesamum,Rabi,0.72
Mulugu,Soyabean,Rabi,1.5
Mulugu,Sunflower,Rabi,1.94
Mulugu,Tobacco,Rabi,4.03
Medchal,Sugarcane,Kharif,94.0
Medchal,Sunflower,Kharif,1.76
Medchal,Sunflower,Rabi,1.68
Medchal,Sweet potato,Kharif,9.0
Medchal,Turmeric,Kharif,7.0
Medchal,Urad,Kharif,0.71
Medchal,Urad,Rabi,1.66
Medchal,Wheat,Rabi,2.03
Mulugu,Arhar/Tur,Rabi,0.76
Mulugu,Bajra,Rabi,1.0
Mulugu,Banana,Kharif,48.63
Mulugu,Cashewnut,Kharif,0.43
Mulugu,Coriander,Rabi,1.0
Mulugu,Cowpea(Lobia),Rabi,1.03
Medchal,Wheat,Kharif,2.0
Mulugu,Arhar/Tur,Kharif,12.04
Mulugu,Cowpea(Lobia),Kharif,0.85
Mulugu,Dry chillies,Rabi,5.98
Mulugu,Dry chillies,Kharif,4.37
Nalgonda,Coriander,Rabi,0.63
Nalgonda,Castor seed,Rabi,0.84
Nalgonda,Coriander,Whole Year,0.48
Nalgonda,Cowpea(Lobia),Rabi,0.78
Nalgonda,Cowpea(Lobia),Kharif,0.75
Nalgonda,Dry chillies,Kharif,4.73
Nalgonda,Dry chillies,Rabi,4.54
Nalgonda,Ginger,Rabi,6.5
Nalgonda,Ginger,Kharif,6.79
Nalgonda,Gram,Kharif,2.0
Nalgonda,Groundnut,Kharif,1.9
Nalgonda,Horse-gram,Kharif,1.17
Nalgonda,Gram,Rabi,1.24
Nalgonda,Groundnut,Rabi,1.73
Nalgonda,Horse-gram,Rabi,1.02
Nalgonda,Jowar,Kharif,0.77
Nagarkurnool,Horse-gram,Rabi,1.01
Nagarkurnool,Jowar,Kharif,0.97
Nagarkurnool,Jowar,Rabi,1.66
Nagarkurnool,Maize,Kharif,2.6
Nagarkurnool,Moong(Green Gram),Kharif,0.61
Nagarkurnool,Onion,Kharif,16.79
Nagarkurnool,Potato,Kharif,12.0
Nagarkurnool,Maize,Rabi,6.45
Nagarkurnool,Moong(Green Gram),Rabi,1.0
Nagarkurnool,Onion,Rabi,30.1
Nagarkurnool,Potato,Rabi,15.74
Nagarkurnool,Ragi,Kharif,1.29
Nagarkurnool,Rice,Kharif,2.77
Nagarkurnool,Sesamum,Kharif,0.16
Nagarkurnool,Small millets,Kharif,1.39
Siddipet,Castor seed,Kharif,0.85
Siddipet,Coriander,Kharif,1.26
Siddipet,Cowpea(Lobia),Kharif,0.98
Siddipet,Dry chillies,Kharif,4.52
Siddipet,Ginger,Kharif,8.19
Siddipet,Gram,Kharif,1.04
Siddipet,Groundnut,Kharif,1.94
Siddipet,Horse-gram,Kharif,1.16
Siddipet,Jowar,Kharif,0.92
Siddipet,Maize,Kharif,3.83
Siddipet,Moong(Green Gram),Kharif,0.64
Siddipet,Onion,Kharif,17.68
Siddipet,Potato,Kharif,18.49
Siddipet,Castor seed,Rabi,0.96
Siddipet,Coriander,Rabi,0.91
Siddipet,Cowpea(Lobia),Rabi,0.99
Siddipet,Dry chillies,Rabi,5.56
Siddipet,Garlic,Rabi,3.4
Siddipet,Ginger,Rabi,8.12
Siddipet,Gram,Rabi,1.68
Siddipet,Groundnut,Rabi,1.88
Siddipet,Horse-gram,Rabi,1.06
Siddipet,Jowar,Rabi,2.32
Siddipet,Maize,Rabi,6.01
Siddipet,Moong(Green Gram),Rabi,0.92
Siddipet,Onion,Rabi,18.44
Siddipet,Potato,Rabi,18.57
Siddipet,Ragi,Kharif,1.59
Siddipet,Rice,Kharif,3.41
Rangareddi,Ragi,Rabi,1.62
Rangareddi,Rice,Rabi,2.84
Rangareddi,Safflower,Rabi,1.06
Rangareddi,Ragi,Kharif,1.59
Rangareddi,Rice,Kharif,2.96
Rangareddi,Safflower,Kharif,1.31
Rangareddi,Sesamum,Kharif,0.14
Rangareddi,Soyabean,Kharif,1.4
Rangareddi,Sunflower,Kharif,2.02
Rangareddi,Sesamum,Rabi,0.76
Rangareddi,Small millets,Kharif,1.13
Rangareddi,Soyabean,Rabi,1.37
Rangareddi,Sugarcane,Kharif,77.29
Rangareddi,Sunflower,Rabi,1.86
Rangareddi,Sweet potato,Kharif,8.83
Rangareddi,Sweet potato,Rabi,11.19
Rangareddi,Sweet potato,Whole Year,8.74
Rangareddi,Turmeric,Kharif,5.62
Rangareddi,Urad,Rabi,1.37
Rangareddi,Urad,Kharif,0.79
Rangareddi,Wheat,Kharif,1.52
Rangareddi,Wheat,Rabi,2.28
Rangareddi,other oilseeds,Kharif,0.33
Rajanna,Turmeric,Rabi,7.38
Rajanna,Urad,Rabi,1.69
Rajanna,Wheat,Rabi,2.25
Rajanna,Turmeric,Kharif,7.17
Rajanna,Urad,Kharif,0.76
Rangareddi,Arhar/Tur,Kharif,0.51
Rangareddi,Bajra,Kharif,0.86
Rangareddi,Arhar/Tur,Rabi,0.71
Rangareddi,Bajra,Rabi,2.09
Rangareddi,Banana,Kharif,49.76
Rangareddi,Banana,Whole Year,31.14
Rangareddi,Cashewnut,Kharif,0.33
Rangareddi,Castor seed,Kharif,0.41
Rangareddi,Castor seed,Rabi,0.87
Rangareddi,Coriander,Kharif,0.76
Rangareddi,Coriander,Whole Year,0.42
Rangareddi,Cowpea(Lobia),Rabi,1.7
Rangareddi,Dry chillies,Rabi,4.56
Rangareddi,Coriander,Rabi,0.76
Rangareddi,Cowpea(Lobia),Kharif,0.75
Rangareddi,Dry chillies,Kharif,4.54
Rajanna,Banana,Kharif,38.12
Rajanna,Castor seed,Rabi,0.97
Rajanna,Castor seed,Kharif,0.85
Rajanna,Coriander,Kharif,1.0
Rajanna,Coriander,Rabi,0.88
Rajanna,Cowpea(Lobia),Rabi,1.42
Rajanna,Cowpea(Lobia),Kharif,0.6
Rajanna,Dry chillies,Rabi,5.08
Rajanna,Garlic,Rabi,4.0
Rajanna,Ginger,Kharif,9.0
Rajanna,Gram,Rabi,1.41
Rajanna,Groundnut,Rabi,2.29
Rajanna,Dry chillies,Kharif,4.39
Rajanna,Groundnut,Kharif,2.01
Rajanna,Horse-gram,Kharif,1.25
Rajanna,Horse-gram,Rabi,0.96
Rajanna,Jowar,Kharif,0.98
Rajanna,Maize,Kharif,5.01
Rajanna,Moong(Green Gram),Kharif,0.61
Rajanna,Jowar,Rabi,2.3
Rajanna,Maize,Rabi,6.21
Rajanna,Moong(Green Gram),Rabi,0.9
Sangareddy,Groundnut,Rabi,1.74
Sangareddy,Horse-gram,Rabi,1.06
Sangareddy,Groundnut,Kharif,2.24
Sangareddy,Horse-gram,Kharif,0.96
Sangareddy,Jowar,Kharif,0.66
Sangareddy,Jowar,Rabi,1.69
Sangareddy,Maize,Kharif,3.54
Sangareddy,Maize,Rabi,3.87
Sangareddy,Moong(Green Gram),Kharif,0.74
Sangareddy,Moong(Green Gram),Rabi,0.98
Sangareddy,Onion,Rabi,37.03
Sangareddy,Potato,Rabi,16.84
Sangareddy,Onion,Kharif,11.89
Sangareddy,Potato,Kharif,19.2
Sangareddy,Ragi,Kharif,1.47
Sangareddy,Ragi,Rabi,1.26
Sangareddy,Rice,Rabi,3.72
Sangareddy,Rice,Kharif,3.55
Sangareddy,Safflower,Rabi,0.66
Sangareddy,Sesamum,Rabi,0.69
Sangareddy,Sesamum,Kharif,0.2
Sangareddy,Small millets,Kharif,1.12
Sangareddy,Soyabean,Kharif,1.3
Sangareddy,Sunflower,Kharif,1.85
Sangareddy,Turmeric,Kharif,4.76
Sangareddy,Urad,Kharif,0.76
Sangareddy,Wheat,Kharif,2.0
Sangareddy,Small millets,Rabi,1.0
Sangareddy,Soyabean,Rabi,1.55
Sangareddy,Sugarcane,Kharif,87.56
Sangareddy,Sunflower,Rabi,2.04
Sangareddy,Sweet potato,Rabi,12.14
Sangareddy,Tobacco,Rabi,3.39
Sangareddy,Turmeric,Rabi,7.52
Sangareddy,Urad,Rabi,1.62
Sangareddy,Wheat,Rabi,1.73
Siddipet,Arhar/Tur,Rabi,0.94
Siddipet,Bajra,Rabi,2.27
Siddipet,Arhar/Tur,Kharif,0.78
Siddipet,Bajra,Kharif,1.13
Siddipet,Banana,Kharif,49.78
Siddipet,Cashewnut,Kharif,0.76
Rangareddi,Ginger,Kharif,11.43
Rangareddi,Gram,Kharif,1.41
Rangareddi,Groundnut,Kharif,1.35
Rangareddi,Horse-gram,Kharif,0.94
Rangareddi,Jowar,Kharif,1.04
Rangareddi,Maize,Kharif,2.3
Rangareddi,Moong(Green Gram),Kharif,0.65
Rangareddi,Ginger,Rabi,9.0
Rangareddi,Gram,Rabi,1.25
Rangareddi,Groundnut,Rabi,2.65
Rangareddi,Horse-gram,Rabi,0.99
Rangareddi,Jowar,Rabi,1.83
Rangareddi,Maize,Rabi,5.1
Rangareddi,Moong(Green Gram),Rabi,0.88
Rangareddi,Oilseeds total,Rabi,1.16
Rangareddi,Onion,Rabi,22.02
Rangareddi,Potato,Kharif,18.14
Rangareddi,Potato,Whole Year,16.67
Rangareddi,Oilseeds total,Kharif,0.8
Rangareddi,Onion,Kharif,15.74
Rangareddi,Potato,Rabi,18.19
Sangareddy,Arhar/Tur,Rabi,0.97
Sangareddy,Arhar/Tur,Kharif,0.74
Sangareddy,Bajra,Kharif,0.61
Sangareddy,Bajra,Rabi,0.68
Sangareddy,Banana,Kharif,50.74
Sangareddy,Castor seed,Kharif,0.95
Sangareddy,Coriander,Kharif,0.71
Sangareddy,Cashewnut,Kharif,0.67
Sangareddy,Castor seed,Rabi,0.99
Sangareddy,Coriander,Rabi,0.73
Sangareddy,Cowpea(Lobia),Rabi,0.83
Sangareddy,Dry chillies,Rabi,5.71
Sangareddy,Cowpea(Lobia),Kharif,0.84
Sangareddy,Dry chillies,Kharif,4.45
Sangareddy,Garlic,Kharif,3.0
Sangareddy,Ginger,Kharif,8.08
Sangareddy,Garlic,Rabi,2.36
Sangareddy,Ginger,Rabi,9.18
Sangareddy,Gram,Rabi,1.33
Rajanna,Onion,Rabi,30.09
Rajanna,Potato,Rabi,24.0
Rajanna,Onion,Kharif,17.63
Rajanna,Ragi,Kharif,2.0
Rajanna,Ragi,Rabi,1.5
Rajanna,Rice,Kharif,3.69
Rajanna,Rice,Rabi,3.79
Rajanna,Safflower,Rabi,1.0
Rajanna,Sesamum,Rabi,0.62
Rajanna,Small millets,Rabi,1.0
Rajanna,Soyabean,Rabi,1.75
Rajanna,Sugarcane,Kharif,89.26
Rajanna,Safflower,Kharif,1.0
Rajanna,Soyabean,Kharif,1.76
Rajanna,Sunflower,Rabi,2.04
Rajanna,Tobacco,Rabi,3.0
Adilabad,Banana,Kharif,49.97
Adilabad,Cashewnut,Kharif,0.61
Adilabad,Castor seed,Kharif,0.85
Adilabad,Coriander,Rabi,1.33
Adilabad,Castor seed,Rabi,0.97
Adilabad,Coriander,Kharif,1.0
Adilabad,Coriander,Whole Year,0.49
Adilabad,Cowpea(Lobia),Kharif,0.88
Adilabad,Cowpea(Lobia),Rabi,1.7
Adilabad,Dry chillies,Kharif,3.9
Adilabad,Dry chillies,Rabi,4.49
Adilabad,Garlic,Rabi,3.0
Adilabad,Ginger,Rabi,9.0
Adilabad,Garlic,Kharif,4.0
Adilabad,Ginger,Kharif,7.89
Adilabad,Gram,Kharif,1.5
Adilabad,Groundnut,Kharif,1.79
Adilabad,Gram,Rabi,1.54
Adilabad,Groundnut,Rabi,2.11
Adilabad,Horse-gram,Rabi,0.43
Adilabad,Jowar,Rabi,1.77
Adilabad,Jowar,Kharif,0.81
Adilabad,Maize,Kharif,3.78
Adilabad,Moong(Green Gram),Kharif,0.62
Adilabad,Linseed,Rabi,0.49
Adilabad,Maize,Rabi,7.19
Adilabad,Moong(Green Gram),Rabi,0.83
Adilabad,Oilseeds total,Kharif,1.0
Adilabad,Oilseeds total,Rabi,0.83
Adilabad,Onion,Kharif,17.71
Adilabad,Onion,Rabi,30.1
Adilabad,Other Kharif pulses,Kharif,0.29
