year,district,crop,season,price
2025,Adilabad,Arhar/Tur,Kharif,6899.51
2025,Adilabad,Arhar/Tur,Rabi,7088.74
2025,Adilabad,Banana,Kharif,587.0
2025,Adilabad,Banana,Whole Year,707.29
2025,Adilabad,Coriander,Kharif,4831.2
2025,Adilabad,Coriander,Rabi,8234.84
2025,Adilabad,Coriander,Whole Year,9047.6
2025,Adilabad,Cowpea(Lobia),Rabi,2974.04
2025,Adilabad,Dry chillies,Kharif,10478.0
2025,Adilabad,Dry chillies,Rabi,5400.0
2025,Adilabad,Garlic,Rabi,3103.0
2025,Adilabad,Ginger,Kharif,587.0
2025,Adilabad,Gram,Kharif,4254.13
2025,Adilabad,Gram,Rabi,4281.43
2025,Adilabad,Groundnut,Rabi,4430.55
2025,Adilabad,Jowar,Kharif,1951.06
2025,Adilabad,Jowar,Rabi,1917.67
2025,Adilabad,Maize,Kharif,1793.32
2025,Adilabad,Maize,Rabi,1643.86
2025,Adilabad,Moong(Green Gram),Kharif,4531.73
2025,Adilabad,Moong(Green Gram),Rabi,7230.26
2025,Adilabad,Mustard,Rabi,3722.45
2025,Adilabad,Onion,Kharif,2983.58
2025,Adilabad,Onion,Rabi,1846.21
2025,Adilabad,Potato,Kharif,3000.0
2025,Adilabad,Potato,Rabi,2779.78
2025,Adilabad,Potato,Whole Year,2800.56
2025,Adilabad,Rice,Rabi,3000.0
2025,Adilabad,Safflower,Rabi,5059.38
2025,Adilabad,Sesamum,Kharif,11042.03
2025,Adilabad,Sesamum,Rabi,9759.99
2025,Adilabad,Soyabean,Kharif,4132.5
2025,Adilabad,Soyabean,Rabi,4726.07
2025,Adilabad,Sunflower,Rabi,5000.66
2025,Adilabad,Turmeric,Kharif,6311.0
2025,Adilabad,Turmeric,Rabi,8855.34
2025,Adilabad,Urad,Kharif,5352.52
2025,Adilabad,Urad,Rabi,5658.34
2025,Adilabad,Wheat,Kharif,1815.24
2025,Adilabad,Wheat,Rabi,1909.41
2025,Hyderabad,Banana,Kharif,1035.68
2025,Hyderabad,Banana,Whole Year,946.07
2025,Hyderabad,Coriander,Kharif,7285.34
2025,Hyderabad,Coriander,Rabi,7057.48
2025,Hyderabad,Coriander,Whole Year,7192.26
2025,Hyderabad,Dry chillies,Kharif,8172.72
2025,Hyderabad,Dry chillies,Rabi,8324.82
2025,Hyderabad,Garlic,Kharif,9205.01
2025,Hyderabad,Garlic,Rabi,8688.58
2025,Hyderabad,Groundnut,Kharif,2211.4
2025,Hyderabad,Groundnut,Rabi,2167.47
2025,Hyderabad,Maize,Kharif,971.73
2025,Hyderabad,Maize,Rabi,1092.78
2025,Hyderabad,Onion,Kharif,1855.88
2025,Hyderabad,Onion,Rabi,1137.1
2025,Hyderabad,Potato,Kharif,1739.51
2025,Hyderabad,Potato,Rabi,1569.15
2025,Hyderabad,Potato,Whole Year,1541.57
2025,Hyderabad,Sesamum,Rabi,6000.0
2025,Hyderabad,Sweet potato,Kharif,1142.32
2025,Hyderabad,Sweet potato,Rabi,1113.65
2025,Hyderabad,Sweet potato,Whole Year,1257.64
2025,Hyderabad,Turmeric,Kharif,7097.75
2025,Hyderabad,Turmeric,Rabi,8825.75
2025,Karimnagar,Arhar/Tur,Kharif,5320.02
2025,Karimnagar,Arhar/Tur,Rabi,6412.24
2025,Karimnagar,Bajra,Rabi,1246.05
2025,Karimnagar,Castor seed,Kharif,2808.5
2025,Karimnagar,Castor seed,Rabi,3333.92
2025,Karimnagar,Coriander,Kharif,722.93
2025,Karimnagar,Coriander,Rabi,402.0
2025,Karimnagar,Coriander,Whole Year,1070.2
2025,Karimnagar,Cowpea(Lobia),Kharif,4457.21
2025,Karimnagar,Cowpea(Lobia),Rabi,4886.16
2025,Karimnagar,Gram,Kharif,4480.79
2025,Karimnagar,Gram,Rabi,3892.77
2025,Karimnagar,Groundnut,Kharif,3691.21
2025,Karimnagar,Groundnut,Rabi,3873.53
2025,Karimnagar,Horse-gram,Rabi,3604.23
2025,Karimnagar,Jowar,Kharif,1000.0
2025,Karimnagar,Jowar,Rabi,2458.05
2025,Karimnagar,Maize,Kharif,1652.17
2025,Karimnagar,Maize,Rabi,1696.56
2025,Karimnagar,Moong(Green Gram),Kharif,5641.9
2025,Karimnagar,Moong(Green Gram),Rabi,6668.24
2025,Karimnagar,Mustard,Rabi,3482.74
2025,Karimnagar,Onion,Rabi,300.0
2025,Karimnagar,Potato,Kharif,2475.0
2025,Karimnagar,Potato,Whole Year,2237.66
2025,Karimnagar,Rice,Kharif,1750.0
2025,Karimnagar,Rice,Rabi,2839.6
2025,Karimnagar,Safflower,Rabi,2059.0
2025,Karimnagar,Sesamum,Kharif,11509.01
2025,Karimnagar,Sesamum,Rabi,8069.06
2025,Karimnagar,Soyabean,Kharif,3214.67
2025,Karimnagar,Soyabean,Rabi,3552.04
2025,Karimnagar,Sunflower,Rabi,3375.0
2025,Karimnagar,Turmeric,Kharif,3580.75
2025,Karimnagar,Turmeric,Rabi,7719.68
2025,Karimnagar,Urad,Kharif,3886.03
2025,Karimnagar,Urad,Rabi,4788.13
2025,Karimnagar,Wheat,Kharif,1401.47
2025,Karimnagar,Wheat,Rabi,1250.0
2025,Khammam,Arhar/Tur,Kharif,6046.0
2025,Khammam,Arhar/Tur,Rabi,6700.9
2025,Khammam,Banana,Kharif,1211.18
2025,Khammam,Banana,Whole Year,961.94
2025,Khammam,Cowpea(Lobia),Kharif,4500.0
2025,Khammam,Cowpea(Lobia),Rabi,5495.36
2025,Khammam,Dry chillies,Kharif,10522.23
2025,Khammam,Dry chillies,Rabi,10145.17
2025,Khammam,Gram,Kharif,9400.0
2025,Khammam,Groundnut,Kharif,3868.99
2025,Khammam,Groundnut,Rabi,4956.64
2025,Khammam,Jowar,Rabi,2432.4
2025,Khammam,Maize,Kharif,1658.37
2025,Khammam,Maize,Rabi,1671.88
2025,Khammam,Moong(Green Gram),Kharif,5413.33
2025,Khammam,Moong(Green Gram),Rabi,5851.27
2025,Khammam,Onion,Kharif,1967.36
2025,Khammam,Onion,Rabi,802.16
2025,Khammam,Potato,Kharif,1564.0
2025,Khammam,Potato,Rabi,1370.21
2025,Khammam,Potato,Whole Year,1678.26
2025,Khammam,Rice,Kharif,4300.07
2025,Khammam,Rice,Rabi,3517.99
2025,Khammam,Safflower,Rabi,3800.0
2025,Khammam,Sunflower,Rabi,4473.13
2025,Khammam,Tobacco,Rabi,1034.14
2025,Khammam,Turmeric,Rabi,5278.35
2025,Khammam,Urad,Kharif,5591.04
2025,Khammam,Urad,Rabi,5732.0
2025,Mahbubnagar,Arhar/Tur,Kharif,6830.56
2025,Mahbubnagar,Arhar/Tur,Rabi,6632.73
2025,Mahbubnagar,Bajra,Kharif,1712.47
2025,Mahbubnagar,Bajra,Rabi,1645.04
2025,Mahbubnagar,Castor seed,Kharif,4562.33
2025,Mahbubnagar,Castor seed,Rabi,4819.22
2025,Mahbubnagar,Cowpea(Lobia),Kharif,7225.0
2025,Mahbubnagar,Cowpea(Lobia),Rabi,4948.3
2025,Mahbubnagar,Dry chillies,Kharif,1334.0
2025,Mahbubnagar,Dry chillies,Rabi,17001.05
2025,Mahbubnagar,Gram,Kharif,4995.42
2025,Mahbubnagar,Gram,Rabi,4401.83
2025,Mahbubnagar,Groundnut,Kharif,5090.25
2025,Mahbubnagar,Groundnut,Rabi,4699.87
2025,Mahbubnagar,Horse-gram,Kharif,3714.76
2025,Mahbubnagar,Horse-gram,Rabi,4032.27
2025,Mahbubnagar,Jowar,Kharif,2879.36
2025,Mahbubnagar,Jowar,Rabi,3068.01
2025,Mahbubnagar,Maize,Kharif,1703.64
2025,Mahbubnagar,Maize,Rabi,1682.74
2025,Mahbubnagar,Masoor,Rabi,3690.0
2025,Mahbubnagar,Moong(Green Gram),Kharif,5595.59
2025,Mahbubnagar,Moong(Green Gram),Rabi,5878.83
2025,Mahbubnagar,Mustard,Rabi,3124.0
2025,Mahbubnagar,Onion,Kharif,3474.67
2025,Mahbubnagar,Onion,Rabi,942.54
2025,Mahbubnagar,Potato,Kharif,1959.69
2025,Mahbubnagar,Potato,Rabi,1718.15
2025,Mahbubnagar,Potato,Whole Year,1838.92
2025,Mahbubnagar,Ragi,Kharif,1871.75
2025,Mahbubnagar,Ragi,Rabi,2364.74
2025,Mahbubnagar,Safflower,Kharif,3929.0
2025,Mahbubnagar,Safflower,Rabi,3850.27
2025,Mahbubnagar,Sesamum,Kharif,3750.0
2025,Mahbubnagar,Small millets,Kharif,1278.0
2025,Mahbubnagar,Soyabean,Kharif,2321.16
2025,Mahbubnagar,Sunflower,Kharif,3490.78
2025,Mahbubnagar,Sunflower,Rabi,4535.6
2025,Mahbubnagar,Sweet potato,Kharif,1839.23
2025,Mahbubnagar,Sweet potato,Whole Year,1872.22
2025,Mahbubnagar,Urad,Kharif,6116.72
2025,Mahbubnagar,Urad,Rabi,5713.57
2025,Mahbubnagar,Wheat,Rabi,1395.0
2025,Medak,Arhar/Tur,Kharif,6719.11
2025,Medak,Arhar/Tur,Rabi,7189.78
2025,Medak,Bajra,Kharif,1937.8
2025,Medak,Bajra,Rabi,1400.0
2025,Medak,Castor seed,Kharif,3250.61
2025,Medak,Castor seed,Rabi,4041.68
2025,Medak,Coriander,Kharif,5335.67
2025,Medak,Coriander,Rabi,5426.97
2025,Medak,Coriander,Whole Year,8002.67
2025,Medak,Cowpea(Lobia),Kharif,5342.58
2025,Medak,Cowpea(Lobia),Rabi,5392.87
2025,Medak,Dry chillies,Rabi,18600.0
2025,Medak,Gram,Kharif,4061.7
2025,Medak,Gram,Rabi,4527.4
2025,Medak,Groundnut,Kharif,4160.79
2025,Medak,Groundnut,Rabi,4108.44
2025,Medak,Horse-gram,Kharif,3578.92
2025,Medak,Horse-gram,Rabi,5208.5
2025,Medak,Jowar,Kharif,2175.24
2025,Medak,Jowar,Rabi,2180.81
2025,Medak,Maize,Kharif,1740.92
2025,Medak,Maize,Rabi,1708.02
2025,Medak,Moong(Green Gram),Kharif,5787.73
2025,Medak,Moong(Green Gram),Rabi,5790.71
2025,Medak,Onion,Kharif,2135.44
2025,Medak,Onion,Rabi,1353.73
2025,Medak,Potato,Kharif,1668.04
2025,Medak,Potato,Rabi,1542.25
2025,Medak,Potato,Whole Year,1551.97
2025,Medak,Ragi,Rabi,1538.0
2025,Medak,Rice,Rabi,2250.0
2025,Medak,Safflower,Kharif,4287.84
2025,Medak,Safflower,Rabi,3996.16
2025,Medak,Sesamum,Kharif,9935.75
2025,Medak,Sesamum,Rabi,9959.04
2025,Medak,Soyabean,Kharif,3946.89
2025,Medak,Soyabean,Rabi,4731.86
2025,Medak,Sunflower,Kharif,3782.31
2025,Medak,Sunflower,Rabi,3667.73
2025,Medak,Sweet potato,Kharif,1000.0
2025,Medak,Sweet potato,Rabi,1095.71
2025,Medak,Sweet potato,Whole Year,1053.1
2025,Medak,Turmeric,Kharif,5971.7
2025,Medak,Turmeric,Rabi,9150.62
2025,Medak,Urad,Kharif,5956.36
2025,Medak,Urad,Rabi,5142.99
2025,Medak,Wheat,Kharif,1931.99
2025,Medak,Wheat,Rabi,1754.2
2025,Nalgonda,Arhar/Tur,Kharif,6191.26
2025,Nalgonda,Arhar/Tur,Rabi,6223.83
2025,Nalgonda,Bajra,Kharif,1613.45
2025,Nalgonda,Bajra,Rabi,1859.0
2025,Nalgonda,Castor seed,Kharif,3649.05
2025,Nalgonda,Castor seed,Rabi,4262.82
2025,Nalgonda,Cowpea(Lobia),Kharif,4845.22
2025,Nalgonda,Cowpea(Lobia),Rabi,5045.75
2025,Nalgonda,Groundnut,Kharif,4560.32
2025,Nalgonda,Groundnut,Rabi,4383.02
2025,Nalgonda,Horse-gram,Kharif,3552.18
2025,Nalgonda,Horse-gram,Rabi,3747.45
2025,Nalgonda,Jowar,Kharif,2282.97
2025,Nalgonda,Jowar,Rabi,2466.06
2025,Nalgonda,Maize,Kharif,1491.04
2025,Nalgonda,Maize,Rabi,1597.72
2025,Nalgonda,Moong(Green Gram),Kharif,5317.06
2025,Nalgonda,Moong(Green Gram),Rabi,5174.13
2025,Nalgonda,Onion,Kharif,3209.7
2025,Nalgonda,Onion,Rabi,1753.64
2025,Nalgonda,Potato,Kharif,2872.33
2025,Nalgonda,Potato,Rabi,2353.11
2025,Nalgonda,Potato,Whole Year,2633.58
2025,Nalgonda,Rice,Kharif,3000.0
2025,Nalgonda,Sesamum,Kharif,4876.9
2025,Nalgonda,Sesamum,Rabi,6829.65
2025,Nalgonda,Sunflower,Rabi,3320.0
2025,Nalgonda,Urad,Kharif,4818.63
2025,Nalgonda,Urad,Rabi,6146.28
2025,Nizamabad,Arhar/Tur,Kharif,3951.53
2025,Nizamabad,Arhar/Tur,Rabi,4180.73
2025,Nizamabad,Bajra,Kharif,1545.69
2025,Nizamabad,Bajra,Rabi,1585.5
2025,Nizamabad,Banana,Kharif,898.44
2025,Nizamabad,Banana,Whole Year,980.17
2025,Nizamabad,Castor seed,Kharif,2607.0
2025,Nizamabad,Castor seed,Rabi,3530.42
2025,Nizamabad,Coriander,Kharif,5373.89
2025,Nizamabad,Coriander,Rabi,6807.68
2025,Nizamabad,Coriander,Whole Year,5864.22
2025,Nizamabad,Dry chillies,Kharif,14501.0
2025,Nizamabad,Dry chillies,Rabi,6600.0
2025,Nizamabad,Garlic,Rabi,1715.07
2025,Nizamabad,Gram,Kharif,3899.33
2025,Nizamabad,Gram,Rabi,3443.7
2025,Nizamabad,Groundnut,Kharif,3136.89
2025,Nizamabad,Groundnut,Rabi,3771.78
2025,Nizamabad,Horse-gram,Kharif,4653.13
2025,Nizamabad,Horse-gram,Rabi,1900.0
2025,Nizamabad,Jowar,Kharif,1386.33
2025,Nizamabad,Jowar,Rabi,1260.51
2025,Nizamabad,Maize,Kharif,1680.51
2025,Nizamabad,Maize,Rabi,1657.66
2025,Nizamabad,Moong(Green Gram),Kharif,5236.7
2025,Nizamabad,Moong(Green Gram),Rabi,5529.44
2025,Nizamabad,Mustard,Rabi,3946.64
2025,Nizamabad,Onion,Kharif,1781.06
2025,Nizamabad,Onion,Rabi,1011.21
2025,Nizamabad,Potato,Kharif,1100.0
2025,Nizamabad,Potato,Whole Year,1100.0
2025,Nizamabad,Rice,Kharif,3176.65
2025,Nizamabad,Rice,Rabi,3905.95
2025,Nizamabad,Safflower,Kharif,2200.0
2025,Nizamabad,Safflower,Rabi,2858.82
2025,Nizamabad,Sesamum,Kharif,11041.96
2025,Nizamabad,Sesamum,Rabi,9608.67
2025,Nizamabad,Soyabean,Kharif,3804.16
2025,Nizamabad,Soyabean,Rabi,4350.59
2025,Nizamabad,Sunflower,Kharif,4192.16
2025,Nizamabad,Sunflower,Rabi,3068.26
2025,Nizamabad,Turmeric,Kharif,6880.24
2025,Nizamabad,Turmeric,Rabi,9751.49
2025,Nizamabad,Urad,Kharif,5124.42
2025,Nizamabad,Urad,Rabi,6662.07
2025,Nizamabad,Wheat,Kharif,1466.47
2025,Nizamabad,Wheat,Rabi,1475.41
2025,Ranga Reddy,Arhar/Tur,Kharif,6961.77
2025,Ranga Reddy,Arhar/Tur,Rabi,7726.26
2025,Ranga Reddy,Bajra,Rabi,1175.0
2025,Ranga Reddy,Coriander,Whole Year,200.0
2025,Ranga Reddy,Gram,Kharif,4228.9
2025,Ranga Reddy,Gram,Rabi,4437.2
2025,Ranga Reddy,Groundnut,Kharif,5158.28
2025,Ranga Reddy,Groundnut,Rabi,5141.48
2025,Ranga Reddy,Horse-gram,Kharif,4825.0
2025,Ranga Reddy,Jowar,Kharif,2008.48
2025,Ranga Reddy,Jowar,Rabi,2777.96
2025,Ranga Reddy,Maize,Kharif,1653.51
2025,Ranga Reddy,Maize,Rabi,1711.36
2025,Ranga Reddy,Moong(Green Gram),Kharif,6088.72
2025,Ranga Reddy,Moong(Green Gram),Rabi,5832.7
2025,Ranga Reddy,Onion,Kharif,1883.15
2025,Ranga Reddy,Onion,Rabi,1558.51
2025,Ranga Reddy,Potato,Kharif,1375.4
2025,Ranga Reddy,Potato,Rabi,1526.36
2025,Ranga Reddy,Potato,Whole Year,1515.45
2025,Ranga Reddy,Ragi,Kharif,2085.52
2025,Ranga Reddy,Ragi,Rabi,1908.96
2025,Ranga Reddy,Rice,Kharif,3056.43
2025,Ranga Reddy,Safflower,Rabi,3973.59
2025,Ranga Reddy,Sesamum,Kharif,5419.46
2025,Ranga Reddy,Soyabean,Kharif,3921.28
2025,Ranga Reddy,Soyabean,Rabi,4640.05
2025,Ranga Reddy,Sunflower,Rabi,2839.0
2025,Ranga Reddy,Sweet potato,Kharif,2293.21
2025,Ranga Reddy,Sweet potato,Rabi,2096.11
2025,Ranga Reddy,Sweet potato,Whole Year,2438.65
2025,Ranga Reddy,Turmeric,Kharif,6133.61
2025,Ranga Reddy,Turmeric,Rabi,9475.18
2025,Ranga Reddy,Urad,Kharif,6336.36
2025,Ranga Reddy,Urad,Rabi,5735.95
2025,Warangal,Arhar/Tur,Kharif,6376.57
2025,Warangal,Arhar/Tur,Rabi,6645.2
2025,Warangal,Bajra,Kharif,1825.0
2025,Warangal,Banana,Kharif,2863.47
2025,Warangal,Banana,Whole Year,2878.86
2025,Warangal,Castor seed,Kharif,4187.01
2025,Warangal,Castor seed,Rabi,4110.54
2025,Warangal,Coriander,Rabi,5116.69
2025,Warangal,Coriander,Whole Year,6572.62
2025,Warangal,Cowpea(Lobia),Kharif,4606.67
2025,Warangal,Cowpea(Lobia),Rabi,5456.12
2025,Warangal,Dry chillies,Kharif,11860.1
2025,Warangal,Dry chillies,Rabi,12773.01
2025,Warangal,Gram,Kharif,5651.92
2025,Warangal,Gram,Rabi,5338.94
2025,Warangal,Groundnut,Kharif,5024.2
2025,Warangal,Groundnut,Rabi,4690.85
2025,Warangal,Horse-gram,Rabi,3569.0
2025,Warangal,Jowar,Kharif,1127.03
2025,Warangal,Jowar,Rabi,2317.76
2025,Warangal,Maize,Kharif,1748.46
2025,Warangal,Maize,Rabi,1672.1
2025,Warangal,Moong(Green Gram),Kharif,5264.29
2025,Warangal,Moong(Green Gram),Rabi,5933.35
2025,Warangal,Mustard,Rabi,3797.71
2025,Warangal,Onion,Kharif,3514.82
2025,Warangal,Onion,Rabi,2524.8
2025,Warangal,Potato,Kharif,2375.78
2025,Warangal,Potato,Rabi,2277.31
2025,Warangal,Potato,Whole Year,2405.83
2025,Warangal,Sesamum,Kharif,9294.38
2025,Warangal,Sesamum,Rabi,8865.01
2025,Warangal,Soyabean,Kharif,3346.65
2025,Warangal,Soyabean,Rabi,3175.73
2025,Warangal,Sunflower,Kharif,4780.34
2025,Warangal,Sunflower,Rabi,4438.69
2025,Warangal,Turmeric,Kharif,5978.07
2025,Warangal,Turmeric,Rabi,9400.42
2025,Warangal,Urad,Kharif,4415.2
2025,Warangal,Urad,Rabi,6037.92
